park_name,size_acre,latitude-decimal,longitude-decimal,address,onleash,run,Accessibility,Dog Mitt Station,Habitat Restoration?
West Campus Bluff,37,34.41023333,-119.8705194,"Camino Majorca and Del Playa Dr, Isla Vista, CA",y,n,u,y,Y
Pelican Park,1,34.40909722,-119.8557111,"El Embarcadero Rd and Del Playa Rd, Isla Vista, CA",y,n,u,y,N
Goleta Beach,29,34.41724722,-119.8312889,"5986 Sandspit Rd, Goleta, CA 93117",y,n,p,n,
Girsch Park,25,34.42635556,-119.8753444,"7050 Phelps Rd, Goleta, CA, 93117",y,n,p,y,N
Ellwood Mesa Open Space,220,34.422,-119.8952444,"Newport Dr. and Palos Verde Dr., Goleta, CA",y,n,n,n,Y
Evergreen Park,5.92,34.43805556,-119.8904083,"7524 Padova Dr, Goleta, CA 93117",y,n,p,y,
Lake Los Carneros,132.36,34.44493333,-119.8497278,"N Los Carneros Rd, Goleta, CA 93117",y,n,p,y,
Stow Grove Park,12.08,34.44969722,-119.8623861,"580 N La Patera Ln, Goleta, CA 93117",y,n,p,y,
Estero Park,1.69,34.41364444,-119.8634472,"889 Camino Del Sur, Goleta, CA, 93117",y,n,p,,
Sea Lookout Park,1.1,34.40955556,-119.8665222,"6786 Del Playa Rd, Isla Vista, CA 93117",y,n,u,Y,N
Window to the Sea Park,0.12,34.40957778,-119.86215,"6693 Del Playa Dr, Goleta, CA, 93117",y,n,n,Y,
Thunderbird Open Space,0.92,34.43571111,-119.8015028,"182 Walnut Ln, Goleta, CA 93111",y,n,p,,
Camino Pescadero Park,0.47,34.40963889,-119.8588028,"Del Playa Rd. and Camino Pescadero, Isla Vista, Ca",y,n,p,Y,
Tabano Hollow Neighborhood Open Space,1.19,34.44402222,-119.8011444,"5100 Tabano, Goleta, CA",n,y,p,Y,N
Calle Barquero Open Space,7.61,34.44441389,-119.8047722,"5100 University Dr, Goleta CA",n,n,p,,
Tucker's Grove Park,15.52,34.45213056,-119.7903389,"805 San Antonio Creek Rd, Santa Barbara CA 93111",n,y,p,,
Anisq'Oyo' Park,0.88,34.41205556,-119.856475,"Embaradero del Mar an Seville Rd, Isla Vista, CA",y,n,p,Y,N
Camino Corto Open Space,20.5,34.41484444,-119.8674167,"Camino Corto and Estero Rd, Isla Vista, CA",y,n,p,,Y
Walter Capps park,1.21,34.40963056,-119.8637778,"6732 Del Playa Rd, Isla Vista, CA",y,n,n,N,N
Stow Canyon Open Space,2.96,34.44796389,-119.8399389,"6200 Muirfield Rd, Goleta, Ca 93117",y,n,p,,
Berkeley Park,5.86,34.44666389,-119.8240167,"460 Arundel Rd, Goleta, CA",y,n,p,,
